Signal,Runs,m,tau,M_mean_mean,M_mean_std,M_mean_ci95,D_local_mean,D_local_std,D_local_ci95,TE_fwd_mean,TE_fwd_std,TE_fwd_ci95
lorenz,100,2,10,16.092240177016258,3.570611593983174e-15,6.99839872420702e-16,2.171909814679481,4.463264492478967e-16,8.747998405258775e-17,0.18387251858654083,2.7895403077993544e-17,5.467499003286734e-18
lorenz,100,3,1,16.091371790169834,3.570611593983174e-15,6.99839872420702e-16,2.650483564080883,4.463264492478967e-16,8.747998405258775e-17,0.21063063631029166,0.0,0.0
lorenz,100,3,5,16.092240177016258,3.570611593983174e-15,6.99839872420702e-16,2.2616720686652556,8.926528984957934e-16,1.749599681051755e-16,0.18387251858654083,2.7895403077993544e-17,5.467499003286734e-18
lorenz,100,3,10,16.025370100439225,3.570611593983174e-15,6.99839872420702e-16,2.158868426402747,0.0,0.0,0.1587373445000719,2.7895403077993544e-17,5.467499003286734e-18
lorenz,100,4,1,16.087422923201196,3.570611593983174e-15,6.99839872420702e-16,2.6629584448642665,4.463264492478967e-16,8.747998405258775e-17,0.20909149774642885,2.7895403077993544e-17,5.467499003286734e-18
lorenz,100,4,5,16.07878998940319,3.570611593983174e-15,6.99839872420702e-16,2.2054685534926186,4.463264492478967e-16,8.747998405258775e-17,0.1691934455506913,8.368620923398064e-17,1.6402497009860205e-17
lorenz,100,4,10,15.824623061929223,3.570611593983174e-15,6.99839872420702e-16,2.0573606313198733,8.926528984957934e-16,1.749599681051755e-16,0.13733681536277764,0.0,0.0
lorenz,100,5,1,16.08467104881841,0.0,0.0,2.6424897596058723,8.926528984957934e-16,1.749599681051755e-16,0.20617487996806091,2.7895403077993544e-17,5.467499003286734e-18
lorenz,100,5,5,16.025370100439225,3.570611593983174e-15,6.99839872420702e-16,2.183215292696666,0.0,0.0,0.1587373445000719,2.7895403077993544e-17,5.467499003286734e-18
lorenz,100,5,10,15.707118381681775,5.355917390974761e-15,1.0497598086310531e-15,1.9882980077610986,4.463264492478967e-16,8.747998405258775e-17,0.11704047297493587,4.184310461699032e-17,8.201248504930103e-18
