Signal,m,tau,run,N_eff,M_mean,D_local,TE_fwd
gaussian_white_noise,2,1,69,999,0.06951097323706712,2.265345069309877,0.011667895378729032
gaussian_white_noise,2,1,70,999,0.03172672471800908,2.2894588509116938,0.007425175148001006
gaussian_white_noise,2,1,71,999,0.04226493514626739,2.239372714247861,0.008927875396801177
gaussian_white_noise,2,1,72,999,0.07505431040193589,2.2698157099834857,0.0
gaussian_white_noise,2,1,73,999,0.028800306585420543,2.30906394743696,0.005268830753657916
gaussian_white_noise,2,1,74,999,0.04084590211060046,2.302305322110252,0.014678934594431592
gaussian_white_noise,2,1,75,999,0.053666228687256456,2.29226094352491,0.014271331851849478
gaussian_white_noise,2,1,76,999,0.07839419463960251,2.295678205959889,0.0
gaussian_white_noise,2,1,77,999,0.03548659864636505,2.292860703367297,0.01785296236440148
gaussian_white_noise,2,1,78,999,0.11235717992499072,2.335640068219422,0.0
gaussian_white_noise,2,1,79,999,0.12741385043947062,2.2970679962354152,0.0
gaussian_white_noise,2,1,80,999,0.08009501944360409,2.3166083365887102,0.05496043404605855
gaussian_white_noise,2,1,81,999,0.09150239325188991,2.2964230543092237,0.00989333655039859
gaussian_white_noise,2,1,82,999,0.08063432400407233,2.2913556586560606,0.029030525303305854
gaussian_white_noise,2,1,83,999,0.03213871424563752,2.245484266741406,0.006449843909202002
gaussian_white_noise,2,1,84,999,0.02671893260003788,2.2729437680540845,0.0
gaussian_white_noise,2,1,85,999,0.03904024006763418,2.279216638428307,0.004278413665670833
gaussian_white_noise,2,1,86,999,0.059440170144966054,2.307276576063636,0.025513832238960088
gaussian_white_noise,2,1,87,999,0.12715072414510598,2.26160823316914,0.027118297727319884
gaussian_white_noise,2,1,88,999,0.06783670796597274,2.294972006437499,0.0
gaussian_white_noise,2,1,89,999,0.08354327127506256,2.238813329427928,0.035175184657754155
gaussian_white_noise,2,1,90,999,0.06235052017712661,2.276795888418367,0.006643730555938809
gaussian_white_noise,2,1,91,999,0.0922024692124701,2.2626022899621208,0.0
gaussian_white_noise,2,1,92,999,0.0831791922444971,2.2574783817409863,0.0
gaussian_white_noise,2,1,93,999,0.024888507909238022,2.3101307313953283,0.012395049656173995
gaussian_white_noise,2,1,94,999,0.08084367327654274,2.296483914170671,0.0
gaussian_white_noise,2,1,95,999,0.009938029995664621,2.32356675843148,0.0
gaussian_white_noise,2,1,96,999,0.04566706454584413,2.278539155493059,0.0
gaussian_white_noise,2,1,97,999,0.04652630210599629,2.2950277247562854,0.0
gaussian_white_noise,2,1,98,999,0.05419588381677887,2.2552342633061335,0.0010542987978787721
gaussian_white_noise,2,1,99,999,0.03593197091416478,2.310884011179384,0.0
gaussian_white_noise,2,5,0,995,0.08302728131835835,2.2732564148366694,0.0
gaussian_white_noise,2,5,1,995,0.0952333343260987,2.2678500594585027,0.0
gaussian_white_noise,2,5,2,995,0.013518146509427176,2.2752241468246597,0.0
gaussian_white_noise,2,5,3,995,0.0806557989551786,2.2658810394763806,0.0074709300168742665
gaussian_white_noise,2,5,4,995,0.06945089969703933,2.254749988098896,0.0
gaussian_white_noise,2,5,5,995,0.07108277673327557,2.2936877404785703,0.0
gaussian_white_noise,2,5,6,995,0.035308676568607034,2.306575784814415,0.0
gaussian_white_noise,2,5,7,995,0.1136261304475692,2.279255203525581,0.0
gaussian_white_noise,2,5,8,995,0.05507545291562277,2.310584376964913,0.0
gaussian_white_noise,2,5,9,995,0.0489671078639482,2.257534515677236,0.0
gaussian_white_noise,2,5,10,995,0.04754418304955177,2.309429533125633,0.0
gaussian_white_noise,2,5,11,995,0.09132628917251928,2.2800584376769524,0.03684321047908279
gaussian_white_noise,2,5,12,995,0.0809939167282625,2.2741941342655534,0.0
gaussian_white_noise,2,5,13,995,0.012576632866785786,2.30610755545448,0.0
gaussian_white_noise,2,5,14,995,0.0993188398016489,2.27883786048805,0.0
gaussian_white_noise,2,5,15,995,0.039314670814413866,2.3048540796032326,0.0
gaussian_white_noise,2,5,16,995,0.09399888088014485,2.300756998068503,0.00525350006042169
gaussian_white_noise,2,5,17,995,0.13258397896989926,2.2821641418332184,0.0048879826767112
gaussian_white_noise,2,5,18,995,0.09151061941375271,2.281870604617717,0.024021842300097962
gaussian_white_noise,2,5,19,995,0.06037893797534988,2.2670613464977087,0.026718663684356603
gaussian_white_noise,2,5,20,995,0.03740722032059729,2.3137517518874073,0.0
gaussian_white_noise,2,5,21,995,0.04791504704551297,2.2976236138251345,0.0
gaussian_white_noise,2,5,22,995,0.03917838578397603,2.265222019243552,0.0
gaussian_white_noise,2,5,23,995,0.03772569061708797,2.2667427605706387,0.0008471049938054698
gaussian_white_noise,2,5,24,995,0.07528757920839357,2.248102220805121,0.0
gaussian_white_noise,2,5,25,995,0.12488850228903114,2.259689866812885,0.03394038760038587
gaussian_white_noise,2,5,26,995,0.07949362322141784,2.3094027891015734,0.009055079370659858
gaussian_white_noise,2,5,27,995,0.046080925595780364,2.319731020454997,0.0
gaussian_white_noise,2,5,28,995,0.10064348997040984,2.290084838160564,0.02216205265521154
gaussian_white_noise,2,5,29,995,0.11113126965712006,2.2599292428601743,0.008322050887457078
gaussian_white_noise,2,5,30,995,0.07119342257189576,2.253296495369483,0.0
gaussian_white_noise,2,5,31,995,0.07363075766484606,2.245056151180383,0.0
gaussian_white_noise,2,5,32,995,0.05226211089631683,2.3078837739137903,0.02801861529458627
gaussian_white_noise,2,5,33,995,0.09189806171163273,2.309606482499548,0.0
gaussian_white_noise,2,5,34,995,0.12826430006440237,2.2848703402573833,0.008608959405342453
gaussian_white_noise,2,5,35,995,0.05216674550857814,2.3237441993060366,0.0
gaussian_white_noise,2,5,36,995,0.07737905546810886,2.35216350064466,0.06304553503313404
gaussian_white_noise,2,5,37,995,0.11162611287726865,2.2943839894074207,0.0
gaussian_white_noise,2,5,38,995,0.026639044470986306,2.312657356417347,0.01714133354447389
gaussian_white_noise,2,5,39,995,0.03302106945735961,2.262039190882034,0.0
gaussian_white_noise,2,5,40,995,0.07063145907118162,2.2853839650302854,0.010276681945010413
gaussian_white_noise,2,5,41,995,0.04220993113305038,2.3058888903042227,0.03768883560291458
gaussian_white_noise,2,5,42,995,0.0692009456301319,2.296222624192874,0.0
gaussian_white_noise,2,5,43,995,0.06797149977581451,2.3016615319689873,0.005647306543237196
gaussian_white_noise,2,5,44,995,0.11247528814317587,2.2566847785760875,0.047298586373840656
gaussian_white_noise,2,5,45,995,0.12562791495209247,2.3182027693396448,0.016970402725913214
gaussian_white_noise,2,5,46,995,0.052333283887668,2.304273255984277,0.02741900664976571
gaussian_white_noise,2,5,47,995,0.03117916344023719,2.2882298273427817,0.00137626807653346
gaussian_white_noise,2,5,48,995,0.06444174919948864,2.288366797322206,0.0
gaussian_white_noise,2,5,49,995,0.008986283436887454,2.310334908162634,0.006848377456153187
gaussian_white_noise,2,5,50,995,0.0687014499265608,2.2922994338954794,0.006096986165414542
gaussian_white_noise,2,5,51,995,0.07757017321266702,2.3000401361129335,0.017247359717287303
gaussian_white_noise,2,5,52,995,0.12347969706506223,2.2979778510661846,0.006366855021238127
gaussian_white_noise,2,5,53,995,0.06828260868585279,2.307764852764836,0.028824721656459662
gaussian_white_noise,2,5,54,995,0.08208296472847731,2.241152605510368,0.0
gaussian_white_noise,2,5,55,995,0.013388125854226551,2.3166369453657256,0.0
gaussian_white_noise,2,5,56,995,0.04861338777803059,2.3081906266443015,0.0
gaussian_white_noise,2,5,57,995,0.10724156836759136,2.273029456530304,0.0
gaussian_white_noise,2,5,58,995,0.03916211875439046,2.2932354999066806,0.0
gaussian_white_noise,2,5,59,995,0.02396024721956369,2.319711884488181,0.0
gaussian_white_noise,2,5,60,995,0.02504174512867241,2.2486796393893154,0.016572205802290352
gaussian_white_noise,2,5,61,995,0.07742552936400582,2.2847139249225834,0.0024705339825068506
gaussian_white_noise,2,5,62,995,0.057900919924626315,2.317495110659748,0.0
gaussian_white_noise,2,5,63,995,0.08063624911262046,2.2884723098363433,0.03287049184862667
gaussian_white_noise,2,5,64,995,0.10549938089494493,2.325286766489702,0.0
gaussian_white_noise,2,5,65,995,0.028971388118680608,2.2708090126019735,0.04588069073670553
gaussian_white_noise,2,5,66,995,0.044030940779225425,2.2350806513946893,0.021246021115559177
gaussian_white_noise,2,5,67,995,0.10980054333881295,2.2874878382830666,0.0
gaussian_white_noise,2,5,68,995,0.049093375960311825,2.345422222218003,0.002077160088189256
gaussian_white_noise,2,5,69,995,0.06868159708320132,2.3000006349447077,0.00809598009821455
gaussian_white_noise,2,5,70,995,0.03499210959978871,2.267853752933971,0.0033826705085791
gaussian_white_noise,2,5,71,995,0.043748737768805945,2.3039936331792013,0.0016720091283137783
gaussian_white_noise,2,5,72,995,0.07490347587432566,2.284861202287928,0.0
gaussian_white_noise,2,5,73,995,0.028298038126249203,2.3126208508608865,0.007178378120626938
gaussian_white_noise,2,5,74,995,0.03783202595628676,2.315140971421277,0.017952531583848685
gaussian_white_noise,2,5,75,995,0.05115488207894803,2.336110163573202,0.013051096831897091
gaussian_white_noise,2,5,76,995,0.08304540741084931,2.2843079930289103,0.0
gaussian_white_noise,2,5,77,995,0.035898862980494606,2.2884865474853227,0.018940857704763392
gaussian_white_noise,2,5,78,995,0.11356431392963362,2.2839054012209066,0.0
gaussian_white_noise,2,5,79,995,0.13491118680624314,2.2884727554395603,0.0
gaussian_white_noise,2,5,80,995,0.08185809108798736,2.3038706838304974,0.05407298422536888
gaussian_white_noise,2,5,81,995,0.0850942376362962,2.277278220785758,0.013125385255109201
gaussian_white_noise,2,5,82,995,0.08018585959588442,2.2860145533042333,0.030389301447993233
gaussian_white_noise,2,5,83,995,0.03480210839070086,2.2505668873771376,0.00666882779163025
gaussian_white_noise,2,5,84,995,0.02724880091283577,2.301179433272722,0.0
